EJE_ID,NOM_E,CONTENIDO_ID,CONTENIDO,ID_S,SUBCONTENIDO
1,,40, ,1, 
2,Números,41,Números racionales,2,Suma y resta de números racionales
2,Números,41,Números racionales,3,Multiplicación y división de números racionales
2,Números,41,Números racionales,4,Representación de números racionales en la recta numérica
2,Números,41,Números racionales,5,Transformación de fracción a decimal
2,Números,41,Números racionales,6,Transformación de decimal a fracción
2,Números,41,Números racionales,7,Aproximación de racionales
2,Números,41,Números racionales,8,Orden de números racionales
2,Números,42,Números reales,9,Identificar números racionales e irracionales
2,Números,42,Números reales,10,Ubicación de números reales en la recta numérica
2,Números,42,Números reales,11,Aproximación de números reales
2,Números,42,Números reales,12,Orden de números reales
2,Números,43,Números complejos,13,Introducción y propiedades
2,Números,43,Números complejos,14,Potencias de i
2,Números,43,Números complejos,15,Suma y resta de números complejos
2,Números,43,Números complejos,16,Multiplicación de números complejos
2,Números,43,Números complejos,17,División de números complejos
2,Números,44,Potencias,18,Propiedades de las potencias
2,Números,44,Potencias,19,Operatoria de potencias
2,Números,45,Raíces,20,Propiedades de las raíces
2,Números,45,Raíces,21,Operatoria de raices
2,Números,46,Logaritmos,22,Propiedades de las logaritmos
2,Números,46,Logaritmos,23,Operatoria de logaritmos
3,Álgebra,47,Expresiones algebraicas,24,Valorización y reducción de expresiones
3,Álgebra,47,Expresiones algebraicas,25,Factorización
3,Álgebra,47,Expresiones algebraicas,26,Productos notables
3,Álgebra,48,Ecuaciones de primer grado,27,Ecuaciones con coeficientes enteros
3,Álgebra,48,Ecuaciones de primer grado,28,Ecuaciones con coeficientes racionales
3,Álgebra,48,Ecuaciones de primer grado,29,Ecuaciones con coeficientes literales
3,Álgebra,48,Ecuaciones de primer grado,30,Problemas con ecuaciones de primer grado
3,Álgebra,49,Ecuaciones de segundo grado,31,Resolución de ecuaciones de segundo grado
3,Álgebra,49,Ecuaciones de segundo grado,32,Análisis de soluciones
3,Álgebra,50,Función lineal y afín,33,"Dominio, recorrido y tipos de funciones"
3,Álgebra,50,Función lineal y afín,34,Función afín
3,Álgebra,50,Función lineal y afín,35,Función lineal
3,Álgebra,50,Función lineal y afín,36,Composición de funciones
3,Álgebra,50,Función lineal y afín,37,Problemas de funciones afin y lineal
3,Álgebra,51,Función cuadrática,38,Intersección de la gráfica con los ejes coordenados
3,Álgebra,51,Función cuadrática,39,Vértice y eje de simetría
